#node	identifier	node_degree
TRAF1	9606.ENSP00000362994	19
TRANK1	9606.ENSP00000494480	2
TREX1	9606.ENSP00000486676	9
TRIB3	9606.ENSP00000415416	22
TRIM14	9606.ENSP00000344208	22
TRIM21	9606.ENSP00000254436	67
TRIM22	9606.ENSP00000369299	69
TRIM25	9606.ENSP00000323889	47
TRIM26	9606.ENSP00000410446	9
TRIM34	9606.ENSP00000422947	2
TRIM5	9606.ENSP00000369373	44
TRIM56	9606.ENSP00000305161	15
TRIM69	9606.ENSP00000453177	3
TRIM71	9606.ENSP00000373272	2
TRIT1	9606.ENSP00000321810	4
TSC22D3	9606.ENSP00000361458	4
TSKS	9606.ENSP00000246801	0
TSKU	9606.ENSP00000434847	2
TSPAN2	9606.ENSP00000358529	0
TSTD1	9606.ENSP00000388293	5
TTC21A	9606.ENSP00000398211	1
TTC25	9606.ENSP00000478589	6
TTN	9606.ENSP00000467141	11
TUBA1A	9606.ENSP00000439020	8
TUBA8	9606.ENSP00000333326	5
TUBE1	9606.ENSP00000357651	5
TXNDC11	9606.ENSP00000349439	0
TXNL4B	9606.ENSP00000268483	2
UBA7	9606.ENSP00000333266	39
UBD	9606.ENSP00000366249	23
UBE2C	9606.ENSP00000348838	15
UBE2R2	9606.ENSP00000263228	5
UBR2	9606.ENSP00000361990	2
UBXN10	9606.ENSP00000364240	0
UHRF1BP1	9606.ENSP00000192788	2
ULBP1	9606.ENSP00000229708	8
UNC93B1	9606.ENSP00000227471	9
UNG	9606.ENSP00000242576	5
USP18	9606.ENSP00000215794	74
USP41	9606.ENSP00000414922	16
VAMP2	9606.ENSP00000418572	13
VEGFD	9606.ENSP00000297904	6
VSIG10L	9606.ENSP00000335623	0
WDR49	9606.ENSP00000311343	2
WDR74	9606.ENSP00000432119	4
WDR78	9606.ENSP00000360065	2
WHAMM	9606.ENSP00000286760	2
WIPF2	9606.ENSP00000320924	3
WIPI1	9606.ENSP00000262139	2
WNT10A	9606.ENSP00000258411	1
XAF1	9606.ENSP00000354822	65
XBP1	9606.ENSP00000216037	30
XPA	9606.ENSP00000364270	4
YAF2	9606.ENSP00000328004	0
YBX1	9606.ENSP00000361626	18
YY1AP1	9606.ENSP00000357323	0
ZBTB48	9606.ENSP00000366902	0
ZC3HAV1	9606.ENSP00000242351	49
ZCCHC8	9606.ENSP00000438993	1
ZDHHC8	9606.ENSP00000384716	2
ZFAND2A	9606.ENSP00000314619	0
ZFP36	9606.ENSP00000471239	22
ZNF134	9606.ENSP00000379464	1
ZNF14	9606.ENSP00000340514	0
ZNF211	9606.ENSP00000299871	2
ZNF383	9606.ENSP00000340132	1
ZNF433	9606.ENSP00000339767	0
ZNF441	9606.ENSP00000350576	0
ZNF556	9606.ENSP00000302603	1
ZNF563	9606.ENSP00000293725	0
ZNF571	9606.ENSP00000333660	1
ZNF608	9606.ENSP00000307746	2
ZNF654	9606.ENSP00000490842	0
ZNF671	9606.ENSP00000321848	0
ZNF80	9606.ENSP00000417192	0
ZNF844	9606.ENSP00000392024	0
ZNF850	9606.ENSP00000464976	0
ZNFX1	9606.ENSP00000360817	25
ZP3	9606.ENSP00000378326	1
ZSWIM3	9606.ENSP00000255152	0
