#node	identifier	node_degree
JAM2	9606.ENSP00000383376	6
JAM3	9606.ENSP00000299106	6
JARID2	9606.ENSP00000341280	38
JMJD1C	9606.ENSP00000382204	12
KANSL1	9606.ENSP00000387393	22
KARS1	9606.ENSP00000325448	63
KAT5	9606.ENSP00000340330	62
KAT6A	9606.ENSP00000265713	26
KAT6B	9606.ENSP00000287239	22
KATNB1	9606.ENSP00000368982	12
KCNA1	9606.ENSP00000371985	50
KCNA2	9606.ENSP00000487785	46
KCNA4	9606.ENSP00000328511	35
KCNB1	9606.ENSP00000360806	38
KCNH1	9606.ENSP00000271751	12
KCNJ2	9606.ENSP00000243457	10
KCNJ5	9606.ENSP00000433295	9
KCNJ6	9606.ENSP00000477437	13
KCNQ5	9606.ENSP00000345055	32
KCNT1	9606.ENSP00000360822	24
KCTD7	9606.ENSP00000492240	11
KDM4B	9606.ENSP00000159111	21
KDM5B	9606.ENSP00000356233	50
KDM5C	9606.ENSP00000364550	68
KDM6A	9606.ENSP00000367203	100
KDSR	9606.ENSP00000494352	6
KIF11	9606.ENSP00000260731	77
KIF14	9606.ENSP00000356319	58
KIF15	9606.ENSP00000324020	44
KIF1A	9606.ENSP00000438388	32
KIF1C	9606.ENSP00000320821	24
KIF2A	9606.ENSP00000385000	34
KIF5A	9606.ENSP00000408979	40
KIF5C	9606.ENSP00000393379	28
KIFBP	9606.ENSP00000354848	8
KIRREL3	9606.ENSP00000435466	6
KIT	9606.ENSP00000288135	46
KMT2A	9606.ENSP00000436786	65
KMT2B	9606.ENSP00000398837	28
KMT2C	9606.ENSP00000262189	52
KMT2D	9606.ENSP00000301067	48
KMT2E	9606.ENSP00000312379	26
KNL1	9606.ENSP00000335463	48
KRT83	9606.ENSP00000293670	0
KYNU	9606.ENSP00000264170	12
L1CAM	9606.ENSP00000359077	29
LAGE3	9606.ENSP00000349923	6
LARGE1	9606.ENSP00000347088	17
LARP7	9606.ENSP00000422626	52
LARS1	9606.ENSP00000377954	48
LAS1L	9606.ENSP00000363944	30
LDHD	9606.ENSP00000300051	6
LEMD3	9606.ENSP00000308369	13
LFNG	9606.ENSP00000222725	8
LIAS	9606.ENSP00000492260	17
LIG4	9606.ENSP00000484288	50
LINGO1	9606.ENSP00000347451	10
LINS1	9606.ENSP00000318423	1
LIPT2	9606.ENSP00000309463	8
LMAN2L	9606.ENSP00000366280	3
LMNB1	9606.ENSP00000261366	45
LMNB2	9606.ENSP00000327054	30
LONP1	9606.ENSP00000353826	24
LRP5	9606.ENSP00000294304	17
LSS	9606.ENSP00000380837	11
LTC4S	9606.ENSP00000292596	0
MAB21L1	9606.ENSP00000369251	3
MACF1	9606.ENSP00000354573	10
MAD2L2	9606.ENSP00000235310	44
MADD	9606.ENSP00000310933	7
MAFB	9606.ENSP00000362410	12
MAN1B1	9606.ENSP00000360645	18
MAP11	9606.ENSP00000324741	17
MAP1B	9606.ENSP00000296755	23
MAPK1	9606.ENSP00000215832	53
MAPK8IP3	9606.ENSP00000481780	11
MAPRE2	9606.ENSP00000300249	17
MASP1	9606.ENSP00000296280	3
MBD5	9606.ENSP00000386049	16
MBOAT7	9606.ENSP00000245615	5
MBTPS2	9606.ENSP00000368798	10
MCM4	9606.ENSP00000262105	64
MCOLN1	9606.ENSP00000264079	8
MCPH1	9606.ENSP00000342924	40
MECP2	9606.ENSP00000395535	75
MED12L	9606.ENSP00000417235	8
MED13	9606.ENSP00000380888	18
MED17	9606.ENSP00000251871	28
MED23	9606.ENSP00000357047	23
MED25	9606.ENSP00000326767	20
MEIS2	9606.ENSP00000453793	9
MESD	9606.ENSP00000261758	3
MESP2	9606.ENSP00000342392	10
METTL23	9606.ENSP00000482599	1
METTL5	9606.ENSP00000260953	4
MFF	9606.ENSP00000302037	12
MFSD2A	9606.ENSP00000361895	14
MGAT2	9606.ENSP00000307423	10
MGME1	9606.ENSP00000366939	9
MICOS13	9606.ENSP00000468723	4
MICU1	9606.ENSP00000493232	3
MIPEP	9606.ENSP00000371607	6
MKS1	9606.ENSP00000376827	24
MMACHC	9606.ENSP00000383840	4
MOCS1	9606.ENSP00000344794	11
MOCS2	9606.ENSP00000380157	20
MORC2	9606.ENSP00000380763	1
MPC1	9606.ENSP00000354223	3
MPDU1	9606.ENSP00000250124	28
MPLKIP	9606.ENSP00000304553	7
MPP5	9606.ENSP00000261681	8
MRE11	9606.ENSP00000325863	62
MRPS22	9606.ENSP00000418008	29
MRPS34	9606.ENSP00000177742	27
MSMO1	9606.ENSP00000261507	9
MT-ND1	9606.ENSP00000354687	52
MT-ND2	9606.ENSP00000355046	44
MT-ND3	9606.ENSP00000355206	47
MTFMT	9606.ENSP00000220058	42
MTHFR	9606.ENSP00000365770	35
MTHFS	9606.ENSP00000258874	8
MTRR	9606.ENSP00000402510	8
MVK	9606.ENSP00000228510	14
MYCN	9606.ENSP00000281043	50
MYH3	9606.ENSP00000464317	11
MYMK	9606.ENSP00000419712	2
MYO18B	9606.ENSP00000386096	3
MYORG	9606.ENSP00000297625	4
MYSM1	9606.ENSP00000418734	27
MYT1L	9606.ENSP00000497479	9
NAA10	9606.ENSP00000417763	21
NACC1	9606.ENSP00000292431	3
NADK2	9606.ENSP00000371362	0
NAGS	9606.ENSP00000293404	16
NALCN	9606.ENSP00000251127	7
NANS	9606.ENSP00000210444	19
NARS1	9606.ENSP00000256854	29
NARS2	9606.ENSP00000281038	35
NBEA	9606.ENSP00000383295	3
NBN	9606.ENSP00000265433	44
NCAPD3	9606.ENSP00000433681	24
NCAPG2	9606.ENSP00000387007	34
NDE1	9606.ENSP00000379643	39
NDP	9606.ENSP00000495811	6
NDST1	9606.ENSP00000261797	6
NDUFA1	9606.ENSP00000360492	37
NDUFA11	9606.ENSP00000389160	41
NDUFA2	9606.ENSP00000252102	43
NDUFA6	9606.ENSP00000482543	38
NDUFAF1	9606.ENSP00000260361	35
NDUFAF2	9606.ENSP00000296597	38
NDUFAF3	9606.ENSP00000323076	37
NDUFAF4	9606.ENSP00000358272	34
NDUFAF5	9606.ENSP00000367346	35
NDUFAF8	9606.ENSP00000400184	11
NDUFB10	9606.ENSP00000268668	41
NDUFB11	9606.ENSP00000276062	46
NDUFB3	9606.ENSP00000407336	37
NDUFB9	9606.ENSP00000276689	44
NDUFC2	9606.ENSP00000281031	34
NDUFS1	9606.ENSP00000392709	63
NDUFS2	9606.ENSP00000356972	72
NDUFS3	9606.ENSP00000263774	80
NDUFS4	9606.ENSP00000296684	46
NDUFS6	9606.ENSP00000274137	42
NDUFS7	9606.ENSP00000233627	52
NDUFS8	9606.ENSP00000315774	83
NDUFV1	9606.ENSP00000497587	65
NDUFV2	9606.ENSP00000327268	61
NECAP1	9606.ENSP00000491067	10
NEK9	9606.ENSP00000238616	18
NEUROD2	9606.ENSP00000306754	10
NEXMIF	9606.ENSP00000055682	4
NFASC	9606.ENSP00000344786	12
NGLY1	9606.ENSP00000280700	4
NHEJ1	9606.ENSP00000349313	29
NIN	9606.ENSP00000371472	23
NIPBL	9606.ENSP00000282516	44
NKX2-1	9606.ENSP00000346879	22
NODAL	9606.ENSP00000287139	14
NOP10	9606.ENSP00000332198	28
NR5A1	9606.ENSP00000362690	8
NSDHL	9606.ENSP00000359297	36
NSMCE2	9606.ENSP00000287437	15
NSUN2	9606.ENSP00000264670	27
NTNG1	9606.ENSP00000359085	7
NTNG2	9606.ENSP00000376921	5
NTRK2	9606.ENSP00000277120	35
NUBPL	9606.ENSP00000281081	28
NUP107	9606.ENSP00000229179	29
NUP133	9606.ENSP00000261396	28
NUP188	9606.ENSP00000361658	14
NUS1	9606.ENSP00000357480	15
OCLN	9606.ENSP00000347379	19
OFD1	9606.ENSP00000344314	37
OGT	9606.ENSP00000362824	29
ORC1	9606.ENSP00000360623	39
ORC4	9606.ENSP00000441953	16
ORC6	9606.ENSP00000219097	25
OSGEP	9606.ENSP00000206542	16
OSTM1	9606.ENSP00000193322	4
OTUD5	9606.ENSP00000156084	6
OTUD6B	9606.ENSP00000285420	8
OXR1	9606.ENSP00000405424	0
P4HTM	9606.ENSP00000341422	1
PACS1	9606.ENSP00000316454	4
PAFAH1B1	9606.ENSP00000380378	39
PAH	9606.ENSP00000448059	11
PAK3	9606.ENSP00000353864	11
PALB2	9606.ENSP00000261584	104
PARN	9606.ENSP00000387911	13
PARS2	9606.ENSP00000360327	38
PAX3	9606.ENSP00000375921	27
PCDH12	9606.ENSP00000231484	1
PCGF2	9606.ENSP00000482063	21
PCLO	9606.ENSP00000334319	5
PCNA	9606.ENSP00000368458	77
PCNT	9606.ENSP00000352572	44
PDE2A	9606.ENSP00000334910	5
PDGFB	9606.ENSP00000330382	22
PDGFRB	9606.ENSP00000261799	33
PDHA1	9606.ENSP00000369134	67
PDHX	9606.ENSP00000227868	40
