ID	log2(fold change)	-log10(Pvalue)
A_24_P12626	1.578	4.625
A_24_P141707	1.461	3.435
A_24_P145911	0.851	4.715
A_24_P151727	-0.828	3.959
A_24_P15502	1.756	6.74
A_24_P157926	2.31	7.753
A_24_P160104	0.5	3.28
A_24_P161018	3.908	9.13
A_24_P16124	1.881	6.528
A_24_P167338	0.716	3.657
A_24_P172481	4.248	6.734
A_24_P175187	5.041	6.273
A_24_P181101	0.479	3.083
A_24_P181295	-0.687	3.64
A_24_P182494	1.725	4.894
A_24_P183150	2.059	6.684
A_24_P186943	1.082	3.854
A_24_P191312	0.719	4.47
A_24_P192805	1.932	3.567
A_24_P194688	0.52	3.164
A_24_P207139	1.912	7.008
A_24_P208081	2.153	4.23
A_24_P211842	1.372	3.128
A_24_P214598	1.245	4.593
A_24_P215765	1.903	5.932
A_24_P21752	0.465	3.516
A_24_P221485	0.553	3.125
A_24_P227927	1.838	3.09
A_24_P23034	1.162	4.468
A_24_P233786	0.906	4.979
A_24_P239606	0.566	3.915
A_24_P241815	0.758	3.113
A_24_P243749	0.84	3.379
A_24_P245379	1.142	3.726
A_24_P248185	-0.409	3.083
A_24_P252078	0.851	4.042
A_24_P257416	2.409	6.963
A_24_P261383	0.429	3.321
A_24_P264664	0.535	3.365
A_24_P267592	1.967	5.558
A_24_P270460	4.34	9.034
A_24_P272310	-0.508	3.179
A_24_P274270	4.095	7.876
A_24_P280328	1.148	3.171
A_24_P28295	0.861	3.651
A_24_P287043	1.809	6.694
A_24_P28722	3.101	7.625
A_24_P296070	0.585	3.428
A_24_P297539	-0.356	3.122
A_24_P30194	2.509	7.058
A_24_P303091	7.201	10.455
A_24_P304071	6.169	7.182
A_24_P306443	0.601	3.507
A_24_P307827	0.972	4.877
A_24_P311926	0.735	4.454
A_24_P317762	3.259	6.115
A_24_P319374	2.154	3.162
A_24_P33508	0.525	3.124
A_24_P335305	2.878	6.98
A_24_P335620	1.044	4.581
A_24_P336474	0.44	3.615
A_24_P337058	0.698	4.504
A_24_P33895	2.418	6.467
A_24_P349196	0.751	4.522
A_24_P355267	0.523	3.192
A_24_P356916	1.222	5.594
A_24_P362317	0.881	5.587
A_24_P373768	1.457	4.831
A_24_P378019	2.612	7.603
A_24_P379750	0.507	3.934
A_24_P382319	2.974	6.066
A_24_P383523	0.812	4.003
A_24_P383609	-0.485	3.591
A_24_P385611	5.123	7.214
A_24_P386622	-0.51	3.312
A_24_P394246	0.963	5.985
A_24_P398323	1.686	3.12
A_24_P399083	0.522	3.33
A_24_P399630	-0.36	3.064
A_24_P402588	0.821	3.757
A_24_P408047	1.045	4.115
A_24_P414719	-0.616	3.281
A_24_P418044	0.807	4.938
A_24_P450596	-0.511	3.362
A_24_P462853	1.316	3.236
A_24_P484797	0.611	3.561
A_24_P48898	1.492	7.196
A_24_P557479	5.212	6.108
A_24_P56317	0.489	3.362
A_24_P567298	4.364	5.659
A_24_P62659	-0.764	3.581
A_24_P68079	2.933	6.027
A_24_P68222	1.093	3.133
A_24_P709476	0.729	3.805
A_24_P7157	1.308	3.79
A_24_P860703	0.523	3.244
A_24_P89891	1.866	3.176
A_24_P91701	0.796	3.934
A_24_P930111	0.951	3.132
A_24_P941167	3.839	5.768
A_24_P941866	2.358	3.258
A_24_P941912	3.653	8.54
A_24_P942921	-1.746	3.226
A_24_P943894	-0.477	3.458
A_24_P95439	1.083	4.699
A_24_P96961	0.513	3.482
A_32_P157945	2.242	3.69
A_32_P163247	0.975	3.269
A_32_P177040	1.915	5.069
A_32_P184488	0.495	3.086
A_32_P205624	0.418	3.067
A_32_P207169	-0.481	3.119
A_32_P24372	0.58	3.127
A_32_P29118	1.189	3.962
A_32_P347617	1.217	3.224
A_32_P36235	0.65	3.889
A_32_P36694	0.518	3.96
A_32_P37360	0.54	3.513
A_32_P4018	-0.597	3.306
A_32_P416583	0.668	3.573
A_32_P460973	1.006	5.325
A_32_P473302	0.928	3.672
A_32_P514599	-0.519	3.442
A_32_P54553	5.179	10.354
A_32_P55241	1.967	5.294
A_32_P60459	0.724	3.747
A_32_P60635	2.138	3.596
A_32_P69166	0.506	3.155
A_32_P75094	0.845	3.316
A_32_P75661	0.575	3.158
A_32_P76035	1.445	4.885
A_32_P78816	0.502	3.79
A_32_P89827	0.744	3.459
A_32_P92489	4.717	6.771
A_32_P94660	0.442	3.2
A_33_P3211153	0.563	3.303
A_33_P3211203	0.572	3.624
A_33_P3211513	0.749	5.042
A_33_P3212456	1.07	3.064
A_33_P3213064	1.3	6.108
A_33_P3213493	0.539	3.116
A_33_P3214105	1.882	5.69
A_33_P3214650	2.655	6.273
A_33_P3215720	0.495	3.854
A_33_P3216150	0.715	3.538
A_33_P3219572	0.781	4.022
A_33_P3220347	0.651	3.751
A_33_P3220352	0.744	4.791
A_33_P3220911	8.756	8.521
A_33_P3221303	0.426	3.116
A_33_P3223056	0.641	3.881
A_33_P3223239	0.683	4.54
A_33_P3224070	0.551	3.27
A_33_P3224090	2.373	3.153
A_33_P3224858	2.24	7.363
A_33_P3225512	2.278	5.092
A_33_P3225522	5.764	9.722
A_33_P3226377	0.685	4.479
A_33_P3226810	2.397	3.325
A_33_P3227472	0.443	3.382
A_33_P3228132	-1.5	3.198
A_33_P3228959	-0.475	3.395
A_33_P3229241	1.096	3.9
A_33_P3233125	-0.51	3.38
A_33_P3234657	-0.739	4.766
A_33_P3235546	0.774	3.324
A_33_P3236157	-0.386	3.159
A_33_P3236516	0.874	3.946
A_33_P3236517	0.924	4.554
A_33_P3237634	0.682	3.792
A_33_P3238074	2.864	6.083
A_33_P3238315	0.647	4.18
A_33_P3239122	0.544	3.188
A_33_P3239123	0.828	3.506
A_33_P3240538	0.538	3.851
A_33_P3240767	0.535	3.546
A_33_P3240843	3.379	5.638
A_33_P3241204	4.72	5.765
A_33_P3242623	1.074	5.647
A_33_P3244728	-0.969	5.036
A_33_P3246985	1.442	5.168
A_33_P3247838	0.804	4.477
A_33_P3248420	0.572	3.976
A_33_P3251108	0.625	4.116
A_33_P3252394	0.968	5.43
A_33_P3253264	0.689	3.166
A_33_P3253401	1.057	5.111
A_33_P3253460	-0.551	4.033
A_33_P3254801	1.164	5.879
A_33_P3256113	0.986	4.853
A_33_P3257150	-0.76	4.523
A_33_P3258346	2.24	3.582
A_33_P3258510	-0.786	4.76
A_33_P3259112	1.653	3.235
A_33_P3259861	-0.782	4.193
A_33_P3261182	0.503	3.722
A_33_P3262181	0.804	4.566
A_33_P3262485	0.805	3.533
A_33_P3264815	-0.525	3.698
A_33_P3264846	4.595	6.745
A_33_P3264895	0.598	3.791
