ID	log2(fold change)	-log10(Pvalue)
A_21_P0000203	0.276	1.989
A_21_P0000205	1.192	4.029
A_21_P0000207	-0.915	5.189
A_21_P0000211	-0.256	1.787
A_21_P0000213	0.571	2.181
A_21_P0000215	0.81	4.453
A_21_P0000218	0.775	3.591
A_21_P0000220	0.443	2.219
A_21_P0000222	1.128	4.229
A_21_P0000223	0.817	3.873
A_21_P0000224	0.461	1.873
A_21_P0000225	0.517	2.9
A_21_P0000226	-0.601	2.202
A_21_P0000227	-0.488	2.472
A_21_P0000228	2.923	3.965
A_21_P0000230	0.533	3.298
A_21_P0000232	1.091	4.357
A_21_P0000233	0.695	2.579
A_21_P0000234	-0.45	3.799
A_21_P0000236	0.734	3.992
A_21_P0000237	-0.324	1.879
A_21_P0000238	1.613	4.543
A_21_P0000239	0.84	2.288
A_21_P0000241	-0.615	3.012
A_21_P0000243	1.079	3.776
A_21_P0000244	0.465	2.653
A_21_P0000247	-0.575	3.509
A_21_P0000248	-0.721	2.024
A_21_P0000249	0.729	2.754
A_21_P0000250	-0.361	2.406
A_21_P0000252	0.824	3.978
A_21_P0000258	0.912	3.221
A_21_P0000260	0.485	1.866
A_21_P0000263	0.505	3.521
A_21_P0000264	1.054	3.385
A_21_P0000265	-0.568	2.234
A_21_P0000266	-0.444	2.023
A_21_P0000270	-0.287	1.794
A_21_P0000273	-0.604	2.68
A_21_P0000274	0.53	3.167
A_21_P0000275	0.457	1.955
A_21_P0000277	1.03	4.063
A_21_P0000278	0.353	1.799
A_21_P0000279	0.638	2.201
A_21_P0000280	-0.509	2.931
A_21_P0000281	0.705	1.935
A_21_P0000285	-0.324	2.229
A_21_P0000286	0.451	2.563
A_21_P0000287	-0.502	2.442
A_21_P0000291	0.428	2.635
A_21_P0000294	0.409	1.962
A_21_P0000295	-0.607	4.298
A_21_P0000298	0.6	2.985
A_21_P0000299	0.92	3.091
A_21_P0000301	-0.611	3.167
A_21_P0000305	-0.64	3.533
A_21_P0000307	0.399	1.899
A_21_P0000308	-0.382	2.313
A_21_P0000312	0.398	1.795
A_21_P0000315	-0.681	3.77
A_21_P0000325	0.649	2.895
A_21_P0000334	-0.286	2.011
A_21_P0000337	0.62	2.928
A_21_P0000338	0.581	1.816
A_21_P0000339	-0.834	3.037
A_21_P0000340	0.601	2.77
A_21_P0000341	-0.341	1.791
A_21_P0000342	-0.768	3.318
A_21_P0000346	0.312	2.426
