p1.Name,p1.Log2FoldChange,p1.MicrocephalyRelated,r.combined_score,p2.Name,p2.Log2FoldChange,p2.MicrocephalyRelated
BDNF,0.811,true,0.778,FGF8,2.232,true
ALB,1.099,null,0.755,FGF8,2.232,true
ANGPT2,1.268,null,0.513,FGF8,2.232,true
BCL2,-0.427,null,0.446,FGF8,2.232,true
CCL5,4.62,null,0.507,FGF8,2.232,true
CD8A,0.975,null,0.4,FGF8,2.232,true
CNPY1,0.744,null,0.73,FGF8,2.232,true
COL18A1,0.0,null,0.678,FGF8,2.232,true
CXCL1,3.577,null,0.4,FGF8,2.232,true
CXCL10,6.996,null,0.487,FGF8,2.232,true
ELN,1.082,null,0.651,FGF8,2.232,true
PSPH,0.502,true,0.407,GPT2,0.527,true
SHMT2,0.856,true,0.496,GPT2,0.527,true
PCK2,1.425,null,0.471,GPT2,0.527,true
SREBF1,0.489,null,0.45,GPT2,0.527,true
ASNS,1.093,true,0.61,GPT2,0.527,true
ALB,1.099,null,0.892,GPT2,0.527,true
ATP4A,3.194,null,0.413,GPT2,0.527,true
BCL2,-0.427,null,0.409,GPT2,0.527,true
CD8A,0.975,null,0.475,GPT2,0.527,true
CTH,0.724,null,0.562,GPT2,0.527,true
SAMD9L,4.595,true,0.81,IFIH1,7.776,true
SAMHD1,1.967,true,0.675,IFIH1,7.776,true
SP110,4.049,true,0.643,IFIH1,7.776,true
TREX1,0.526,true,0.496,IFIH1,7.776,true
USP18,5.139,true,0.857,IFIH1,7.776,true
IFIT1,5.051,null,0.982,IFIH1,7.776,true
IFIT2,6.169,null,0.976,IFIH1,7.776,true
IFIT3,5.672,null,0.972,IFIH1,7.776,true
IFIT5,2.509,null,0.889,IFIH1,7.776,true
IFITM1,7.056,null,0.777,IFIH1,7.776,true
IFITM2,1.809,null,0.47,IFIH1,7.776,true
IFITM3,1.9,null,0.757,IFIH1,7.776,true
IFNB1,7.722,null,0.946,IFIH1,7.776,true
IFNL1,0.0,null,0.682,IFIH1,7.776,true
IL15,2.009,null,0.503,IFIH1,7.776,true
IRF1,1.782,null,0.786,IFIH1,7.776,true
IRF7,2.612,null,0.974,IFIH1,7.776,true
IRF9,4.241,null,0.896,IFIH1,7.776,true
ISG15,6.076,null,0.994,IFIH1,7.776,true
ISG20,0.61,null,0.767,IFIH1,7.776,true
JAK2,0.503,null,0.425,IFIH1,7.776,true
LAP3,1.459,null,0.56,IFIH1,7.776,true
LY6E,3.259,null,0.469,IFIH1,7.776,true
MX1,6.495,null,0.966,IFIH1,7.776,true
MX2,2.623,null,0.812,IFIH1,7.776,true
NLRC5,0.668,null,0.994,IFIH1,7.776,true
NMI,3.042,null,0.637,IFIH1,7.776,true
OAS1,8.029,null,0.939,IFIH1,7.776,true
OAS2,5.764,null,0.932,IFIH1,7.776,true
OAS3,2.878,null,0.921,IFIH1,7.776,true
OASL,7.594,null,0.94,IFIH1,7.776,true
PARP12,4.326,null,0.799,IFIH1,7.776,true
PARP14,3.908,null,0.879,IFIH1,7.776,true
PARP9,3.938,null,0.888,IFIH1,7.776,true
PIAS1,-1.128,null,0.52,IFIH1,7.776,true
PLSCR1,3.064,null,0.705,IFIH1,7.776,true
PNPT1,1.445,null,0.588,IFIH1,7.776,true
PSMB8,3.346,null,0.496,IFIH1,7.776,true
PSMB9,1.113,null,0.492,IFIH1,7.776,true
RIPK2,0.562,null,0.505,IFIH1,7.776,true
RNF123,1.398,null,0.59,IFIH1,7.776,true
RSAD2,3.101,null,0.954,IFIH1,7.776,true
RTP4,3.123,null,0.803,IFIH1,7.776,true
SAMD9,5.041,null,0.837,IFIH1,7.776,true
SH2D3C,0.775,null,0.545,IFIH1,7.776,true
SOCS1,1.12,null,0.554,IFIH1,7.776,true
SP100,5.123,null,0.601,IFIH1,7.776,true
STAT1,4.095,null,0.963,IFIH1,7.776,true
STAT2,1.3,null,0.888,IFIH1,7.776,true
TAP1,4.812,null,0.508,IFIH1,7.776,true
TDRD7,3.174,null,0.597,IFIH1,7.776,true
TLR3,4.082,null,0.975,IFIH1,7.776,true
TNFAIP3,2.31,null,0.548,IFIH1,7.776,true
TNFSF10,2.397,null,0.538,IFIH1,7.776,true
TRAF1,1.866,null,0.464,IFIH1,7.776,true
TRIM14,2.709,null,0.458,IFIH1,7.776,true
TRIM21,2.29,null,0.812,IFIH1,7.776,true
TRIM22,4.248,null,0.638,IFIH1,7.776,true
TRIM25,2.637,null,0.98,IFIH1,7.776,true
TRIM5,0.631,null,0.565,IFIH1,7.776,true
TRIM56,0.64,null,0.502,IFIH1,7.776,true
UBA7,0.935,null,0.478,IFIH1,7.776,true
UNC93B1,0.381,null,0.502,IFIH1,7.776,true
XAF1,2.24,null,0.849,IFIH1,7.776,true
ZC3HAV1,2.077,null,0.638,IFIH1,7.776,true
ZNFX1,1.162,null,0.644,IFIH1,7.776,true
ADAR,0.881,true,0.851,IFIH1,7.776,true
EIF2AK2,2.24,true,0.962,IFIH1,7.776,true
B2M,1.85,null,0.627,IFIH1,7.776,true
BST2,8.756,null,0.678,IFIH1,7.776,true
CASP1,3.22,null,0.675,IFIH1,7.776,true
CCL5,4.62,null,0.765,IFIH1,7.776,true
CD8A,0.975,null,0.602,IFIH1,7.776,true
CMPK2,3.282,null,0.808,IFIH1,7.776,true
CXCL10,6.996,null,0.891,IFIH1,7.776,true
CXCL11,5.091,null,0.591,IFIH1,7.776,true
DDX58,4.068,null,0.96,IFIH1,7.776,true
DDX60,5.701,null,0.987,IFIH1,7.776,true
DDX60L,5.26,null,0.646,IFIH1,7.776,true
DHX58,4.05,null,0.999,IFIH1,7.776,true
DTX3L,3.653,null,0.638,IFIH1,7.776,true
EPSTI1,1.991,null,0.851,IFIH1,7.776,true
GBP1,2.913,null,0.87,IFIH1,7.776,true
GBP5,2.369,null,0.621,IFIH1,7.776,true
HELZ2,0.0,null,0.632,IFIH1,7.776,true
HERC5,4.008,null,0.925,IFIH1,7.776,true
HERC6,4.332,null,0.866,IFIH1,7.776,true
HLA-B,0.902,null,0.434,IFIH1,7.776,true
HLA-C,0.891,null,0.403,IFIH1,7.776,true
ICAM1,1.925,null,0.42,IFIH1,7.776,true
IFI16,4.336,null,0.774,IFIH1,7.776,true
IFI27,4.34,null,0.785,IFIH1,7.776,true
IFI35,2.561,null,0.843,IFIH1,7.776,true
IFI44,6.963,null,0.954,IFIH1,7.776,true
IFI44L,5.515,null,0.904,IFIH1,7.776,true
IFI6,6.886,null,0.845,IFIH1,7.776,true
SHMT2,0.856,true,0.996,PSPH,0.502,true
SLC1A4,0.719,true,0.551,PSPH,0.502,true
TRIT1,0.437,true,0.482,PSPH,0.502,true
SDSL,0.443,null,0.933,PSPH,0.502,true
ASNS,1.093,true,0.708,PSPH,0.502,true
GPT2,0.527,true,0.407,PSPH,0.502,true
ALDH1L2,1.236,null,0.419,PSPH,0.502,true
CHAC1,1.872,null,0.427,PSPH,0.502,true
CTH,0.724,null,0.601,PSPH,0.502,true
